rt,coherent_direction,coherence,age,gender,resp_confidence,rt_confidence,sat_CB,direction,coherence_level,trial,phase,sub,coh,cor,cj
-0.001,180,0.2,20,V,50,1453.99000000907,accuracy,left,0.2,16,training_3,7627,0.2,0,50
0.871465000003809,0,0.2,20,V,46,2390.00499999383,accuracy,right,0.2,17,training_3,7627,0.2,1,46
0.611839999997756,180,0.2,20,V,61,719.624999997905,accuracy,left,0.2,18,training_3,7627,0.2,1,61
0.690964999987045,180,0.2,20,V,50,968.389999994542,accuracy,left,0.2,19,training_3,7627,0.2,1,50
1.05432999998447,180,0.2,20,V,65,1111.63499997929,accuracy,left,0.2,20,training_3,7627,0.2,1,65
0.706099999981234,0,0.2,20,V,64,677.075000014156,accuracy,right,0.2,21,training_3,7627,0.2,1,64
0.784724999975879,180,0.2,20,V,58,1270.89000001433,accuracy,left,0.2,22,training_3,7627,0.2,1,58
0.794274999992922,0,0.2,20,V,73,2036.87999999966,accuracy,right,0.2,23,training_3,7627,0.2,1,73
2.50069999997504,0,0.2,20,V,50,1774.49500001967,accuracy,right,0.2,24,training_3,7627,0.2,0,50
1.480750000017,180,0.2,20,V,62,1094.41999997944,accuracy,left,0.2,1,training_3,7627,0.2,1,62
0.692185000021709,0,0.2,20,V,84,982.199999998556,accuracy,right,0.2,2,training_3,7627,0.2,0,84
1.24721000000136,0,0.2,20,V,72,1485.15500000212,accuracy,right,0.2,3,training_3,7627,0.2,0,72
0.908899999980349,0,0.2,20,V,53,1023.82000000216,accuracy,right,0.2,4,training_3,7627,0.2,0,53
0.95621500001289,180,0.2,20,V,71,865.689999976894,accuracy,left,0.2,5,training_3,7627,0.2,0,71
0.862134999973932,180,0.2,20,V,70,914.885000005597,accuracy,left,0.2,6,training_3,7627,0.2,0,70
1.29684000002453,180,0.2,20,V,74,841.55500002089,accuracy,left,0.2,7,training_3,7627,0.2,0,74
2.32342999998946,0,0.2,20,V,41,1550.06499998854,accuracy,right,0.2,8,training_3,7627,0.2,0,41
0.868914999999106,180,0.2,20,V,57,842.539999983273,accuracy,left,0.2,9,training_3,7627,0.2,0,57
1.18689000001177,0,0.2,20,V,15,1614.83500001486,accuracy,right,0.2,10,training_3,7627,0.2,0,15
1.50285000001895,180,0.2,20,V,56,1407.15500002261,accuracy,left,0.2,11,training_3,7627,0.2,1,56
0.828049999981886,0,0.2,20,V,68,671.275000000605,accuracy,right,0.2,12,training_3,7627,0.2,0,68
