rt,coherent_direction,coherence,age,gender,resp_confidence,rt_confidence,condition,direction,coherence_level,trial,phase,sub,coh,cor,cj
1.68896499997936,0,0.2,22,M,6,0.254515000153333,speed,right,0.2,26,experimental,143,0.2,0,6
1.12568499986082,180,0.2,22,M,6,0.202454999787733,speed,left,0.2,27,experimental,143,0.2,1,6
2.67094499990344,180,0.2,22,M,5,1.24673000001349,speed,left,0.2,28,experimental,143,0.2,1,5
1.1277499999851,0,0.2,22,M,6,0.19889000011608,speed,right,0.2,29,experimental,143,0.2,1,6
2.95521000004373,0,0.2,22,M,6,0.441150000086054,speed,right,0.2,30,experimental,143,0.2,1,6
1.94072499987669,180,0.2,22,M,5,0.528339999960735,speed,left,0.2,31,experimental,143,0.2,1,5
0.971069999970496,180,0.2,22,M,5,0.511365000158548,speed,left,0.2,32,experimental,143,0.2,0,5
0.963305000215769,0,0.2,22,M,6,0.17784500005655,speed,right,0.2,33,experimental,143,0.2,1,6
1.82915500015952,180,0.2,22,M,6,0.216054999968037,speed,left,0.2,34,experimental,143,0.2,0,6
1.58323500002734,0,0.2,22,M,4,0.776970000006258,speed,right,0.2,35,experimental,143,0.2,0,4
1.40336499991827,0,0.2,22,M,4,0.332090000156313,speed,right,0.2,36,experimental,143,0.2,0,4
2.64476500009187,0,0.2,22,M,6,0.558029999956489,speed,right,0.2,37,experimental,143,0.2,1,6
1.46461999998428,0,0.2,22,M,6,0.347284999908879,speed,right,0.2,38,experimental,143,0.2,1,6
1.22209499985911,180,0.2,22,M,6,0.355069999815896,speed,left,0.2,39,experimental,143,0.2,0,6
1.09389000013471,0,0.2,22,M,6,0.34320000000298,speed,right,0.2,40,experimental,143,0.2,1,6
1.67279500002041,180,0.2,22,M,6,0.287605000194162,speed,left,0.2,41,experimental,143,0.2,0,6
1.51483000000007,180,0.2,22,M,6,0.24347999994643,speed,left,0.2,42,experimental,143,0.2,0,6
2.26437500002794,180,0.2,22,M,5,0.789545000065118,speed,left,0.2,43,experimental,143,0.2,1,5
1.01870499993674,0,0.2,22,M,6,0.224129999987781,speed,right,0.2,44,experimental,143,0.2,1,6
1.83669500006363,0,0.2,22,M,6,0.37036499986425,speed,right,0.2,45,experimental,143,0.2,1,6
0.812815000070259,0,0.2,22,M,6,0.434159999946132,speed,right,0.2,46,experimental,143,0.2,1,6
2.2141249999404,180,0.2,22,M,6,0.300289999926463,speed,left,0.2,47,experimental,143,0.2,0,6
1.82177999988198,180,0.2,22,M,5,0.794125000014901,speed,left,0.2,48,experimental,143,0.2,0,5
2.01423000008799,180,0.2,22,M,4,0.553739999886602,speed,left,0.2,49,experimental,143,0.2,1,4
1.21852999995463,0,0.2,22,M,6,0.31277499999851,speed,right,0.2,50,experimental,143,0.2,1,6
2.12006500014104,180,0.2,22,M,6,0.309470000211149,speed,left,0.2,51,experimental,143,0.2,0,6
2.06071999995038,180,0.2,22,M,6,0.343630000017583,speed,left,0.2,52,experimental,143,0.2,0,6
0.861849999986589,180,0.2,22,M,6,0.544239999959245,speed,left,0.2,53,experimental,143,0.2,1,6
0.834009999874979,0,0.2,22,M,6,0.492889999877661,speed,right,0.2,54,experimental,143,0.2,1,6
1.0926000000909,180,0.2,22,M,6,0.348424999974668,speed,left,0.2,55,experimental,143,0.2,1,6
0.838370000012219,180,0.2,22,M,6,0.21377499983646,speed,left,0.2,56,experimental,143,0.2,1,6
0.63323500007391,0,0.2,22,M,6,0.204075000016019,speed,right,0.2,57,experimental,143,0.2,1,6
0.749740000115708,0,0.2,22,M,6,0.201665000058711,speed,right,0.2,58,experimental,143,0.2,1,6
0.851829999824986,0,0.2,22,M,4,0.677619999973103,speed,right,0.2,59,experimental,143,0.2,0,4
0.535094999941066,0,0.2,22,M,6,0.245459999889135,speed,right,0.2,60,experimental,143,0.2,1,6
-0.001,180,0.2,22,M,1,4.77730000019073,accuracy,left,0.2,1,experimental,143,0.2,0,1
2.6112949999515,180,0.2,22,M,6,0.732175000011921,accuracy,left,0.2,2,experimental,143,0.2,1,6
